oblast_name,iso_year,iso_week,week_start,oblast_pcode,n_events,fatalities
Autonomous Republic of Crimea,2022,10,2022-03-07,UA-43,1,0
Autonomous Republic of Crimea,2022,11,2022-03-14,UA-43,1,0
Autonomous Republic of Crimea,2022,12,2022-03-21,UA-43,2,0
Autonomous Republic of Crimea,2022,14,2022-04-04,UA-43,1,0
Autonomous Republic of Crimea,2022,17,2022-04-25,UA-43,1,0
Autonomous Republic of Crimea,2022,19,2022-05-09,UA-43,1,0
Autonomous Republic of Crimea,2022,20,2022-05-16,UA-43,1,0
Autonomous Republic of Crimea,2022,22,2022-05-30,UA-43,1,0
Autonomous Republic of Crimea,2022,23,2022-06-06,UA-43,1,0
Autonomous Republic of Crimea,2022,27,2022-07-04,UA-43,1,0
Autonomous Republic of Crimea,2022,32,2022-08-08,UA-43,2,1
Autonomous Republic of Crimea,2022,33,2022-08-15,UA-43,4,0
Autonomous Republic of Crimea,2022,34,2022-08-22,UA-43,2,0
Autonomous Republic of Crimea,2022,35,2022-08-29,UA-43,4,0
Autonomous Republic of Crimea,2022,36,2022-09-05,UA-43,5,0
Autonomous Republic of Crimea,2022,37,2022-09-12,UA-43,6,0
Autonomous Republic of Crimea,2022,38,2022-09-19,UA-43,2,0
Autonomous Republic of Crimea,2022,39,2022-09-26,UA-43,2,0
Autonomous Republic of Crimea,2022,40,2022-10-03,UA-43,1,4
Autonomous Republic of Crimea,2022,41,2022-10-10,UA-43,2,0
Autonomous Republic of Crimea,2022,42,2022-10-17,UA-43,1,0
Autonomous Republic of Crimea,2022,43,2022-10-24,UA-43,1,0
Autonomous Republic of Crimea,2022,44,2022-10-31,UA-43,1,0
Autonomous Republic of Crimea,2022,45,2022-11-07,UA-43,1,30
Autonomous Republic of Crimea,2022,46,2022-11-14,UA-43,2,0
Autonomous Republic of Crimea,2022,47,2022-11-21,UA-43,1,0
Autonomous Republic of Crimea,2022,48,2022-11-28,UA-43,1,1
Autonomous Republic of Crimea,2022,49,2022-12-05,UA-43,1,3
Autonomous Republic of Crimea,2022,50,2022-12-12,UA-43,1,0
Autonomous Republic of Crimea,2022,51,2022-12-19,UA-43,3,0
Autonomous Republic of Crimea,2022,52,2022-12-26,UA-43,4,0
Autonomous Republic of Crimea,2023,1,2023-01-02,UA-43,4,0
Autonomous Republic of Crimea,2023,4,2023-01-23,UA-43,3,0
Autonomous Republic of Crimea,2023,5,2023-01-30,UA-43,1,2
Autonomous Republic of Crimea,2023,6,2023-02-06,UA-43,1,0
Autonomous Republic of Crimea,2023,7,2023-02-13,UA-43,1,0
Autonomous Republic of Crimea,2023,8,2023-02-20,UA-43,1,0
Autonomous Republic of Crimea,2023,9,2023-02-27,UA-43,9,0
Autonomous Republic of Crimea,2023,11,2023-03-13,UA-43,2,0
Autonomous Republic of Crimea,2023,12,2023-03-20,UA-43,1,0
Autonomous Republic of Crimea,2023,13,2023-03-27,UA-43,3,0
Autonomous Republic of Crimea,2023,14,2023-04-03,UA-43,2,0
Autonomous Republic of Crimea,2023,15,2023-04-10,UA-43,1,0
Autonomous Republic of Crimea,2023,16,2023-04-17,UA-43,1,0
Autonomous Republic of Crimea,2023,17,2023-04-24,UA-43,1,0
Autonomous Republic of Crimea,2023,18,2023-05-01,UA-43,7,0
Autonomous Republic of Crimea,2023,19,2023-05-08,UA-43,2,0
Autonomous Republic of Crimea,2023,20,2023-05-15,UA-43,5,0
Autonomous Republic of Crimea,2023,21,2023-05-22,UA-43,4,0
Autonomous Republic of Crimea,2023,22,2023-05-29,UA-43,5,0
Autonomous Republic of Crimea,2023,23,2023-06-05,UA-43,4,0
Autonomous Republic of Crimea,2023,24,2023-06-12,UA-43,2,0
Autonomous Republic of Crimea,2023,25,2023-06-19,UA-43,3,0
Autonomous Republic of Crimea,2023,26,2023-06-26,UA-43,2,0
Autonomous Republic of Crimea,2023,27,2023-07-03,UA-43,1,0
Autonomous Republic of Crimea,2023,28,2023-07-10,UA-43,2,0
Autonomous Republic of Crimea,2023,29,2023-07-17,UA-43,8,3
Autonomous Republic of Crimea,2023,30,2023-07-24,UA-43,9,0
Autonomous Republic of Crimea,2023,31,2023-07-31,UA-43,5,0
Autonomous Republic of Crimea,2023,32,2023-08-07,UA-43,4,11
Autonomous Republic of Crimea,2023,33,2023-08-14,UA-43,3,0
Autonomous Republic of Crimea,2023,34,2023-08-21,UA-43,9,36
Autonomous Republic of Crimea,2023,35,2023-08-28,UA-43,5,0
Autonomous Republic of Crimea,2023,36,2023-09-04,UA-43,4,0
Autonomous Republic of Crimea,2023,37,2023-09-11,UA-43,6,0
Autonomous Republic of Crimea,2023,38,2023-09-18,UA-43,5,30
Autonomous Republic of Crimea,2023,39,2023-09-25,UA-43,2,0
Autonomous Republic of Crimea,2023,40,2023-10-02,UA-43,4,43
Autonomous Republic of Crimea,2023,41,2023-10-09,UA-43,1,0
Autonomous Republic of Crimea,2023,42,2023-10-16,UA-43,2,0
Autonomous Republic of Crimea,2023,43,2023-10-23,UA-43,3,0
Autonomous Republic of Crimea,2023,44,2023-10-30,UA-43,6,17
Autonomous Republic of Crimea,2023,45,2023-11-06,UA-43,7,1
Autonomous Republic of Crimea,2023,47,2023-11-20,UA-43,7,3
Autonomous Republic of Crimea,2023,48,2023-11-27,UA-43,3,0
Autonomous Republic of Crimea,2023,49,2023-12-04,UA-43,8,0
Autonomous Republic of Crimea,2023,50,2023-12-11,UA-43,5,0
Autonomous Republic of Crimea,2023,51,2023-12-18,UA-43,3,0
Autonomous Republic of Crimea,2023,52,2023-12-25,UA-43,4,74
Autonomous Republic of Crimea,2024,1,2024-01-01,UA-43,8,12
Autonomous Republic of Crimea,2024,4,2024-01-22,UA-43,1,0
Autonomous Republic of Crimea,2024,5,2024-01-29,UA-43,4,9
Autonomous Republic of Crimea,2024,6,2024-02-05,UA-43,1,0
Autonomous Republic of Crimea,2024,8,2024-02-19,UA-43,6,0
Autonomous Republic of Crimea,2024,9,2024-02-26,UA-43,8,0
Autonomous Republic of Crimea,2024,10,2024-03-04,UA-43,3,0
Autonomous Republic of Crimea,2024,12,2024-03-18,UA-43,4,3
Autonomous Republic of Crimea,2024,13,2024-03-25,UA-43,2,0
Autonomous Republic of Crimea,2024,16,2024-04-15,UA-43,4,30
Autonomous Republic of Crimea,2024,17,2024-04-22,UA-43,3,0
Autonomous Republic of Crimea,2024,18,2024-04-29,UA-43,10,0
Autonomous Republic of Crimea,2024,19,2024-05-06,UA-43,2,0
Autonomous Republic of Crimea,2024,20,2024-05-13,UA-43,3,3
Autonomous Republic of Crimea,2024,21,2024-05-20,UA-43,8,10
Autonomous Republic of Crimea,2024,22,2024-05-27,UA-43,4,0
