oblast_name,day,n_events,fatalities,n_detections,total_frp,has_events,has_detections,corroborated
Autonomous Republic of Crimea,2025-06-01,0,0,3,4.140000000000001,False,True,False
Autonomous Republic of Crimea,2025-06-02,0,0,2,1.5299999999999998,False,True,False
Autonomous Republic of Crimea,2025-06-03,1,0,5,5.12,True,True,True
Autonomous Republic of Crimea,2025-06-04,0,0,6,20.54,False,True,False
Autonomous Republic of Crimea,2025-06-05,0,0,36,1218.25,False,True,False
Autonomous Republic of Crimea,2025-06-06,0,0,14,88.33,False,True,False
Autonomous Republic of Crimea,2025-06-07,0,0,9,14.16,False,True,False
Autonomous Republic of Crimea,2025-06-08,1,0,7,14.620000000000001,True,True,True
Autonomous Republic of Crimea,2025-06-09,0,0,4,6.66,False,True,False
Autonomous Republic of Crimea,2025-06-10,0,0,4,7.84,False,True,False
Autonomous Republic of Crimea,2025-06-11,1,0,9,35.68,True,True,True
Autonomous Republic of Crimea,2025-06-12,1,0,10,40.33,True,True,True
Autonomous Republic of Crimea,2025-06-13,2,10,6,11.12,True,True,True
Autonomous Republic of Crimea,2025-06-14,1,0,1,0.41,True,True,True
Autonomous Republic of Crimea,2025-06-15,0,0,2,4.65,False,True,False
Autonomous Republic of Crimea,2025-06-16,0,0,3,10.62,False,True,False
Autonomous Republic of Crimea,2025-06-17,0,0,4,3.45,False,True,False
Autonomous Republic of Crimea,2025-06-18,0,0,9,21.43,False,True,False
Autonomous Republic of Crimea,2025-06-19,0,0,9,70.17,False,True,False
Autonomous Republic of Crimea,2025-06-20,0,0,4,28.419999999999998,False,True,False
Autonomous Republic of Crimea,2025-06-21,0,0,5,4.75,False,True,False
Autonomous Republic of Crimea,2025-06-22,0,0,4,8.56,False,True,False
Autonomous Republic of Crimea,2025-06-23,1,0,8,27.76,True,True,True
Autonomous Republic of Crimea,2025-06-24,1,0,23,60.69,True,True,True
Autonomous Republic of Crimea,2025-06-25,1,0,11,46.25,True,True,True
Autonomous Republic of Crimea,2025-06-26,2,0,20,262.31,True,True,True
Autonomous Republic of Crimea,2025-06-27,0,0,31,188.41,False,True,False
Autonomous Republic of Crimea,2025-06-28,2,0,15,65.13,True,True,True
Autonomous Republic of Crimea,2025-06-29,1,0,6,8.04,True,True,True
Autonomous Republic of Crimea,2025-06-30,1,0,11,7.91,True,True,True
Cherkasy Oblast,2025-06-01,1,0,0,0.0,True,False,False
Cherkasy Oblast,2025-06-06,3,0,2,1.6800000000000002,True,True,True
Cherkasy Oblast,2025-06-07,0,0,1,1.18,False,True,False
Cherkasy Oblast,2025-06-08,1,0,3,11.309999999999999,True,True,True
Cherkasy Oblast,2025-06-09,2,0,4,2.51,True,True,True
Cherkasy Oblast,2025-06-11,0,0,2,6.359999999999999,False,True,False
Cherkasy Oblast,2025-06-12,0,0,2,3.77,False,True,False
Cherkasy Oblast,2025-06-15,3,0,0,0.0,True,False,False
Cherkasy Oblast,2025-06-16,1,0,0,0.0,True,False,False
Cherkasy Oblast,2025-06-18,0,0,4,19.03,False,True,False
Cherkasy Oblast,2025-06-19,0,0,1,1.03,False,True,False
Cherkasy Oblast,2025-06-20,0,0,1,0.89,False,True,False
Cherkasy Oblast,2025-06-21,1,0,0,0.0,True,False,False
Cherkasy Oblast,2025-06-22,2,0,1,0.68,True,True,True
Cherkasy Oblast,2025-06-23,1,0,0,0.0,True,False,False
Cherkasy Oblast,2025-06-27,2,0,0,0.0,True,False,False
